Country,Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
United Kingdom,Concert,Sep 23,G-Dragon,"Act III, M.O.T.T.E.","Birmingham, UK","Genting Arena, Resorts World",Ticketmaster,---
United Kingdom,Concert,Sun,Mar 05,Block B,Live Blockbuster,"London, UK",Troxy,MyMusicTaste
United Kingdom,Concert,May 28,Grace,K-Pop K-Hiphop Party,"London, UK",Fire,TicketTailor,FB
United Kingdom,Concert,Sep 01,K.A.R.D,Wild Kard Tour,"London, UK",ULU Live,Ticketmaster,FB
United Kingdom,Concert,Sep 24,G-Dragon,"Act III, M.O.T.T.E.","London, UK","The SEE Arena, Wembley",Ticketmaster,---
United Kingdom,Concert,Oct 17,DPR Live,DPR: Live in London,"London, UK",Electrowerkz,ResidentAdvisor,FB
United Kingdom,Concert,Oct 27,Hyukoh,tour',"London, UK",ULU Live,Ticketmaster,FB
USA,Festival,Sat,Apr 29,Various,15th Korea Times Music Festival,"Los Angeles, CA",Hollywood Bowl,KTMF Site
USA,Concert,Sep 23,Hyukoh,Modern Sky Festival L.A.,"Arcadia, CA",Santa Anita Park,Ticketfly,FB
USA,Concert,Jul 16,Monsta X,Beautiful in the U.S.,"Atlanta, GA",Cobb Energy Performing Arts Centre,Venue,---
USA,Concert,Aug 12,Eric Nam,1st Live 2017,"Atlanta, GA",Terminal West,Sold Out,FB
USA,Concert,Aug 13,Eric Nam,1st Live 2017,"Atlanta, GA",Terminal West,Ticketfly,FB
USA,Concert,Sep 06,Taeyang,White Night,"Atlanta, GA",Cobb Energy Performing Arts Centre,Ticketmaster,Site
USA,Concert,Nov 08,BewhY,The Blind Star,"Atlanta, GA",Buckhead Theatre,---,FB
USA,Concert,Dec 08,Various,Illionaire Ambition Tour,"Atlanta, GA",The Loft,Ticketmaster,FB
USA,Concert,Aug 10,JJCC,US Live Tour,Atlanta. GA,Center Stage Theater,KpopTickets,Site
USA,Fanmeet,Oct 22,DAY6,Live & Meet,"Austin, TX",Emo's,Venue,Site
USA,Concert,Nov 19,SF9,Be My Fantasy,"Boston, MA",The Wilbur,---,FB
USA,Concert,Jul 27,G-Dragon,"Act III, M.O.T.T.E.","Brooklyn, NY",Barclays Center,Ticketmaster,---
USA,Concert,Sep 10,Hyukoh,tour',"Cambridge, MA",Middle East,TicketWeb,FB
USA,Concert,Jul 21,G-Dragon,"Act III, M.O.T.T.E.","Chicago, IL",United Center,Ticketmaster,---
USA,Concert,Aug 06,JJCC,US Live Tour,"Chicago, IL",Nichols Concert Hall,KpopTickets,Site
USA,Concert,Sep 03,Taeyang,White Night,"Chicago, IL",Aragon Ballroom,Ticketmaster,Site
USA,Concert,Oct 24,24K,Still with 24U,"Chicago, IL",Royal George Theatre,KpopTickets,FB
USA,Concert,Nov 05,BewhY,The Blind Star,"Chicago, IL",House of Blues,---,FB
USA,Concert,Mon,May 08,Various,Club Eskimo US Tour,"Berkeley, CA",Taube Family Music Hall,Ticketfly
USA,Concert,Wed,May 10,Various,Club Eskimo US Tour,"Dallas, TX",Gas Monkey Live!,Ticketfly
USA,Concert,Sep 08,Taeyang,White Night,"Dallas, TX",The Bomb Factory,Ticketfly,Site
USA,Concert,Oct 20,24K,Still with 24U,"Dallas, TX",Granada Theater,KpopTickets,FB
USA,Concert,Nov 03,BewhY,The Blind Star,"Dallas, TX",Gas Monkey Live,---,FB
USA,Concert,Nov 15,SF9,Be My Fantasy,"Dallas, TX",The Bomb Factory,---,FB
USA,Fanmeet,Oct 27,DAY6,Live & Meet,"Detroit, MI",Music Hall Center,Ticketmaster,Site
USA,Concert,Aug 12,JJCC,US Live Tour,"Englewood, NJ",Bergen PAC,Ticketmaster,KpopTickets
USA,Concert,Sat,Jan 21,GOT7,Flight Log: Turbulence,"Miami, FL",Filmore Miami Beach,Livenation
USA,Concert,Sun,Jan 22,GOT7,Flight Log: Turbulence,Washington DC,Echostage,Ticketmaster
USA,Concert,Wed,Jan 25,GOT7,Flight Log: Turbulence,"Chicago, IL",Rosemont Theatre,Ticketmaster
USA,Concert,Fri,Jan 27,GOT7,Flight Log: Turbulence,"Houston, TX",Revention Music Center,Livenation
USA,Concert,Sun,Jan 29,GOT7,Flight Log: Turbulence,"Pasadena, CA",Pasadena Civic Auditorium,Ticketmaster
USA,Concert,Jul 19,Monsta X,Beautiful in the U.S.,"Grand Prairie, TX",Verizon Theatre,AXS,---
USA,Concert,Aug 23,Seventeen,Diamond Edge,"Grand Prairie, TX",Verizon Theatre,AXS,Site
USA,Concert,Jul 19,G-Dragon,"Act III, M.O.T.T.E.","Houston, TX",Toyota Center,AXS,---
USA,Concert,Aug 08,JJCC,US Live Tour,"Houston, TX",Fitzgerald's Live,KpopTickets,Site
USA,Concert,Sat,May 06,Various,Identity LA,"Los Angeles, CA",Los Angeles City Hall,---
USA,Concert,Jul 16,G-Dragon,"Act III, M.O.T.T.E.","Inglewood, CA",The Forum,Ticketmaster,---
USA,Festival,Jul 07,Various,K-Hiphop Fest,"Los Angeles, CA",333 Live,Sparxo,FB
USA,Concert,Jul 23,Monsta X,Beautiful in the U.S.,"Los Angeles, CA",Novo by Microsoft,AXS,---
USA,Concert,Jul 24,Monsta X,Beautiful in the U.S.,"Los Angeles, CA",Novo by Microsoft,AXS,---
USA,Concert,Aug 18-20,Various,KCON in LA,"Los Angeles, CA",Los Angeles Convention Center,AXS,Site
USA,Concert,Sep 12,Taeyang,White Night,"Los Angeles, CA",Hollywood Palladium,LiveNation,Site
USA,Concert,Sep 19,Hyukoh,tour',"Los Angeles, CA",The Mayan,Ticketfly,FB
USA,Concert,Sep 26,Various,"With, Antenna. Label Concert","Los Angeles, CA",Dolby Theatre,Powerhouse,Site
USA,Fanmeet,Oct 20,DAY6,Live & Meet,"Los Angeles, CA",La Mirada Theatre,Sold Out,Site
USA,Concert,Nov 01,BewhY,The Blind Star,"Los Angeles, CA",Belasco Theater,---,FB
USA,Concert,Nov 18,Various,"Just Music ""We Effect""","Los Angeles, CA",333 Live,Sparxo,FB
USA,Concert,Dec 02,Various,Illionaire Ambition Tour,"Los Angeles, CA",Belasco Theater,PurplePass,FB
USA,Concert,Jul 25,G-Dragon,"Act III, M.O.T.T.E.","Miami, FL",AmericanAirlines Arena,Ticketmaster,---
USA,Concert,Aug 16,JJCC,US Live Tour,"Miami, FL",Miami Theater Center,KpopTickets,Site
USA,Concert,Sep 22,K.A.R.D,Wild Kard Pt.2,"Miami, FL",James L Knight Center,Ticketmaster,Site
USA,Concert,Sep 15,K.A.R.D,Wild Kard Pt.2,"Minneapolis, MN",State Theatre,Ticketmaster,Site
USA,Concert,May 12,Various,Club Eskimo US Tour,"New York, NY",Terminal 5!,AXS,Site
USA,Concert,Jun 30,"G2, Reddy",Universe x G2's Life Tour,"New York, NY",SOB's (Sound of Brazil's),Sparxo,FB
USA,Concert,Jul 14,Monsta X,Beautiful in the U.S.,"New York, NY",Playstation Theater,AXS,---
USA,Concert,Aug 08,Eric Nam,1st Live 2017,"New York, NY",Irving Plaza,LiveNation,FB
USA,Concert,Aug 27,Seventeen,Diamond Edge,"New York, NY",Terminal 5!,AXS,Site
USA,Concert,Sep 01,Taeyang,White Night,"New York, NY",Theater at Madison Square Garden,Ticketmaster,Site
USA,Concert,Sep 11,Hyukoh,tour',"New York, NY",Irving Plaza,Ticketmaster,FB
USA,Concert,Sep 20,K.A.R.D,Wild Kard Pt.2,"New York, NY",PlayStation Theater,AXS,Site
USA,Concert,Oct 19,24K,Still with 24U,"New York, NY",Merkin Concert Hall,KpopTickets,FB
USA,Fanmeet,Oct 24,DAY6,Live & Meet,"New York, NY",The Town Hall,Ticketmaster,Site
USA,Concert,Nov 12,BewhY,The Blind Star,"New York, NY",Stage 48,---,FB
USA,Concert,Nov 25,Various,"Just Music ""We Effect""","New York, NY",Stage 48,Sparxo,FB
USA,Concert,Dec 10,Various,Illionaire Ambition Tour,"New York, NY",Highline Ballroom,TicketWeb,FB
USA,Concert,Jun 23-24,Various,KCON in New York,"Newark, N.J",Prudential Center,Ticketmaster,Site
USA,Concert,Sep 28,Various,"With, Antenna. Label Concert","Newark, NJ",New Jersey Performing Arts Center,Powerhouse,Site
USA,Concert,Oct 21,"Moon Myungjin, Lyn",Live,"Rancho Mirage, CA",Agua Caliente Casino Resort,KoreanConcert,FB
USA,Concert,Jul 12,Monsta X,Beautiful in the U.S.,"Rosemont, IL",Rosemont Theater,Ticketmaster,---
USA,Concert,Aug 18,Seventeen,Diamond Edge,"Rosemont, IL",Rosemont Theater,Ticketmaster,Site
USA,Festival,Jul 08,Various,K-Hiphop Fest,"San Francisco, CA",The Grand Nightclub,Sparxo,FB
USA,Concert,Jul 21,Monsta X,Beautiful in the U.S.,"San Francisco, CA",The Warfield,AXS,---
USA,Concert,Sep 15,Hyukoh,tour',"San Francisco, CA",Social Hall,Eventbrite,FB
USA,Concert,Oct 08,K.A.R.D,Wild Kard Pt.2,"San Francisco, CA",The Warfield,AXS,Site
USA,Concert,Oct 13,"Nada, Osshun Gum, Paloalto",18+ K Hiphop Fest,"San Francisco, CA",The Grand Nightclub,Sparxo,FB
USA,Concert,Nov 30,Various,Illionaire Ambition Tour,"San Francisco, CA",Regency Ballroom,AXS,FB
USA,Concert,Jul 14,G-Dragon,"Act III, M.O.T.T.E.","San Jose, CA",SAP Center,Ticketmaster,---
USA,Concert,Sep 10,Taeyang,White Night,"San Jose, CA",City National Civic,Venue Site,Site
USA,Concert,Oct 22,24K,Still with 24U,"San Juan, Puerto Rico",[TBA](),KpopTickets,FB
USA,Concert,Oct 25,VIXX,Shangri-La,"San Juan, Puerto Rico",Centro de Bellas Artes,---,MyMusicTaste
