Country,Type,Date,Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
South Korea,Fanmeet,2019-04-06 00:00:00,Lai Kuanlin,Good Feeling,"Songpa, Seoul",Olympic Hall,,
South Korea,Concert,2019-04-12 00:00:00,Nu'est,Segno,"Songpa, Seoul",KSPO Dome,,
South Korea,Concert,2019-04-13 00:00:00,Super Junior D&E,The D&E,"Songpa, Seoul",Olympic Hall,,
South Korea,Concert,2019-04-13 00:00:00,Monsta X,We Are Here,"Songpa, Seoul",SK Olympic Handball Gym,,
South Korea,Concert,2019-04-20 00:00:00,Stray Kids,HI-STAY,"Songpa, Seoul",Olympic Hall,,
South Korea,Concert,2019-04-20 00:00:00,Shinhwa,Chapter 4,"Songpa, Seoul",KSPO Dome,,
South Korea,Concert,2019-04-28 00:00:00,Lee Joongi,DELIGHT：For Us,"Songpa, Seoul",Olympic Hall,,
South Korea,Concert,2019-05-18 00:00:00,GFRIEND,GO GO GFRIEND!,"Songpa, Seoul",SK Olympic Handball Gym,,
South Korea,Showcase,2019-05-22 00:00:00,AB6IX,B：COMPLETE,"Songpa, Seoul",Olympic Hall,,
South Korea,Festival,2019-05-24 00:00:00,"N.Flying, Heize",DELIGHT MUSIC FESTA,"Songpa, Seoul",Jamsil Arena,,
South Korea,Concert,2019-05-25 00:00:00,Twice,TWICELIGHTS,"Songpa, Seoul",KSPO Dome,,
South Korea,Fanmeet,2019-05-26 00:00:00,Kim Jaehwan,MIN:D,"Songpa, Seoul",Jamsil Arena,,
South Korea,Concert,2019-06-07 00:00:00,IZ*ONE,Eyes on Me,"Songpa, Seoul",Jamsil Arena,,
South Korea,Concert,2019-06-15 00:00:00,Gummy,This is Gummy,"Songpa, Seoul",Olympic Hall,,
South Korea,Concert,2019-06-15 00:00:00,GOT7,KEEP SPINNING,"Songpa, Seoul",Olympic Arena,,
South Korea,Concert,2019-06-22 00:00:00,BTS,Magic Shop,"Songpa, Seoul",Olympic Park 88 Area,,
South Korea,Concert,2019-06-22 00:00:00,Jung Seunghwan,"Dear, My Universe","Songpa, Seoul",Olympic Hall,,
South Korea,Concert,2019-06-29 00:00:00,Park Hyoshin,LOVERS：where is your love？,"Songpa, Seoul",KSPO Dome,,
South Korea,Concert,2019-07-06 00:00:00,Jay Park,SEXY 4EVA,"Songpa, Seoul",Olympic Hall,,
South Korea,Concert,2019-07-20 00:00:00,Yang DaIl,D.I.LAND,"Songpa, Seoul",Olympic Hall,,
South Korea,Concert,2019-02-23 00:00:00,Kim Hyun Joong,New Way,"Suyeong, Busan",KBS Busan Hall,,
South Korea,Concert,2019-03-16 00:00:00,Sandeul B1A4,Happy Sandeul Day,"Yeoungdeungpo, Seoul",Yeoungdeungpo Art Hall,,
South Korea,Concert,2019-01-27 00:00:00,Hanhae,About Time,"Yongsan, Seoul",Understage,,
South Korea,Concert,2019-02-09 00:00:00,Kim Hyun Joong,New Way,"Yongsan, Seoul",Blue Square I-Market Hall,,
South Korea,Concert,2019-02-16 00:00:00,Eric Nam,I Color U,"Yongsan, Seoul",Blue Square I-Market Hall,,
South Korea,Concert,2019-03-02 00:00:00,WJSN,Would you stay♥ - Secret Box,"Yongsan, Seoul",Blue Square I-Market Hall,,
South Korea,Concert,2019-03-23 00:00:00,Lee Gikwang Highlight,I,"Yongsan, Seoul",Blue Square I-Market Hall,,
